ID,Cancers,Immune diseases,Neurodegenerative diseases,Substance dependence,Cardiovascular diseases,Endocrine and metabolic diseases,Infectious diseases,Drug resistance
ec:1.1.1.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.178,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.11.1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.11.1.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.11.1.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.11.1.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ec:1.13.11.34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ec:1.13.11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ec:1.14.13.126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.14.13.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ec:1.14.13.39,2.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0
ec:1.14.14.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.14.16.2,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
ec:1.14.99.1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ec:1.14.99.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.2.1.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.2.1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.3.5.1,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0
ec:1.4.3.4,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
ec:2.1.1.37,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.1.1.43,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.3.1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.4.1.17,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.4.1.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.4.2.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.5.1.10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ec:2.5.1.18,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.7.1.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ec:2.7.1.137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ec:2.7.1.153,57.0,0.0,0.0,0.0,0.0,8.0,40.0,0.0
ec:2.7.1.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ec:2.7.1.40,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ec:2.7.1.91,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ec:2.7.7.6,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0
ec:2.7.7.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
ec:2.8.2.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.8.2.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:3.1.1.34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ec:3.1.3.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:3.1.3.67,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ec:3.1.4.11,11.0,0.0,8.0,0.0,0.0,0.0,18.0,0.0
ec:3.1.4.17,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
ec:3.1.4.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ec:3.1.4.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:3.2.1.166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:3.3.2.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:3.5.1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:3.5.3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ec:3.5.4.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:3.6.1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ec:3.6.3.14,0.0,1.0,3.0,0.0,0.0,0.0,8.0,0.0
ec:4.1.1.15,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ec:4.1.1.28,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
ec:4.2.1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:4.6.1.1,0.0,0.0,1.0,12.0,9.0,0.0,13.0,0.0
