"","V1","V2","V3","V4","V5","V6","V7"
"sig_1",-13.0162580395916,3.69017646420489,1.74567611802816,-17.9499163316259,-12.8108406874688,-9.7224589574166,-6.95344697853134
"sig_2",-4.64223915039245,-7.72792828183926,11.2897071631046,-6.61460460856205,34.2038363258027,51.5415048604188,-32.8266120302417
"sig_3",-105.331633412429,179.852102422719,-130.704632153816,-15.2904788461163,139.219576449613,-230.55816702442,239.95273464437
"sig_4",165.286324111837,-41.7908191532328,-78.1735223492381,62.6763013571886,10.2300023766214,47.411663011776,-228.350938951111
"sig_5",67.6513909028403,-26.4451403233568,46.5945041722381,129.186759688001,-213.067534118938,7.63777755068435,144.980515974405
"sig_6",10.2639153561224,-83.3411192124068,105.890933319603,-99.9894100651304,203.605287474053,214.790695252881,-98.1255612613986
"sig_7",32.5368461006259,11.3949242913399,-20.4865654589401,90.5215158827368,-129.14954282168,-57.0954272814815,20.3771684130286
"sig_8",18.6620079093198,26.3991802955999,-26.3605553740935,-4.58946278240693,-25.9147164702898,-135.212556808338,86.1168166102227
"sig_9",-153.594267065559,-90.0580457895347,52.3115764369411,-358.093128898079,294.082350663822,251.472658909212,-38.9954578433914
"sig_10",283.109474376276,330.075096828824,-19.2858227493242,540.808921638599,-165.575326634598,-70.3054401297896,510.783799198431
"sig_11",-145.142519298941,145.339150458854,-169.418615852925,272.283812956984,-448.709815976874,-152.864817261062,618.662368447956
"sig_12",-24.0283121537873,-241.906133569359,-206.775518599743,345.473933637136,-725.591564430737,-78.8262010388176,7.63471350344523
"sig_13",296.157597259577,-368.356884705208,192.472283105054,383.850728186095,-791.465742898293,124.400670018034,-57.0876727843048
"sig_14",295.813411573863,-157.377517762235,207.321134590999,-145.547669643612,-511.480747142204,67.1783668542345,118.247909511806
"sig_15",48.7015622416932,-51.0262042047067,-70.2117122987087,114.761376897092,-226.126891639153,18.423311843323,140.659363796226
"sig_16",-307.592891516314,96.9940612581897,-260.91074596658,-157.643601711467,324.617685798936,-50.8231902823624,153.49947371585
"sig_17",-111.093242558581,271.132635045102,262.892923220854,-434.90238446803,1612.47541739085,146.906088939271,-591.793166562984
"sig_18",-17.5151358029063,34.972503273258,-205.249458883733,344.639722330121,-701.536484734651,-329.363003319949,345.776636507737
"sig_19",272.904984295866,109.906904166653,-3.58891885250338,61.3551829999917,-334.909198277997,-112.023636186583,228.390057037308
"sig_20",-225.685508564714,-394.79601821327,182.938145643252,-443.925647106782,184.501983520055,140.970632640143,-569.473387587154
"sig_21",-261.927117057839,46.0467901884356,214.285528720528,-551.571328094812,1133.2465934451,149.158143708211,-790.236682721541
"sig_22",-69.8404049474263,36.1569435514858,8.11625479359489,-23.6482062637092,51.3722107011311,-46.3705079006349,-56.6797344527459
"sig_23",-8.7872067892656,101.188555953648,-55.1827930633998,-38.3491626518689,178.814161283338,-114.370781021324,-15.1190160737558
"sig_24",25.2338497991093,-73.094897641415,0.51581789811144,24.2252022220783,-243.343952984822,28.9558155793061,30.0878713853099
"sig_25",83.5826391046642,262.657393787358,-65.5359254005309,59.3241602481357,305.258863958988,-68.6085871744254,-100.35599701345
"sig_26",-22.2743094729678,10.883856486527,-1.43048514206936,-9.45798385759438,2.56318933894489,24.8367681457708,67.1700917321529
"sig_27",-84.6345252795006,-60.5402013651747,6.36719377536406,-90.8143383206743,20.6165965248967,34.1405829010464,-59.9918389045885
"sig_28",-30.7576321993838,-52.161162301013,6.82804882866996,-55.154490557851,68.1399771908519,55.9137688193163,-14.3648447311102
"sig_29",-17.655608597695,-21.1843308463856,14.4446522454683,20.7684930403419,-32.0971860184788,94.7610616259564,-55.9098521460929
