"","V1"
"sig_1",0.385196399249821
"sig_2",0.450234780168489
"sig_3",0.286513674089361
"sig_4",0.355847625485821
"sig_5",0.325595459229252
"sig_6",0.371172726366078
"sig_7",0.420486698136717
"sig_8",0.45811033945855
"sig_9",0.243804888375535
"sig_10",0.236538533136467
"sig_11",0.296206178430667
"sig_12",0.240555629607928
"sig_13",0.270900777920183
"sig_14",0.333385788709408
"sig_15",0.271708314306999
"sig_16",0.307451127709774
"sig_17",0.339690714428843
"sig_18",0.398522115399169
"sig_19",0.259378944524087
"sig_20",0.313347835748113
"sig_21",0.308266708927996
"sig_22",0.433397838407875
"sig_23",0.329987528983408
"sig_24",0.373828028470506
"sig_25",0.309011670963373
"sig_26",0.42033429703089
"sig_27",0.355721949040989
"sig_28",0.433175443458461
"sig_29",0.463840196051809
