"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"sig_1",-0.0820012091951978,0.0428396302588905,-0.0693244195126702,0.117548676113016,-0.049089340244359,0.099142689989642,0.168655970726287,-0.0227812183029063,-0.235468393028862,-0.101216783805595,0.0801706171100102,-0.0231371359112881
"sig_2",-0.043541558495174,-0.0364112742773754,-0.0404033227120644,-0.0278998230510639,-0.0275139084097454,0.0487361066134463,0.0510246334030548,-0.0103468410316815,-0.480244351308345,-0.216024118406103,-0.56000005406327,0.0950863448801797
"sig_3",0.241532090081775,-0.402273018458605,0.170661158096737,0.150201497030581,0.00530935881186646,0.0633525907520758,-0.392098185822307,-0.747772165568761,0.270888144651089,0.0163960503162708,-0.127803473594744,0.24644503763982
"sig_4",0.0528296062214107,0.0199831394804287,-0.212430800973133,0.204183453246865,-0.0994775715219426,0.126703160869152,0.0296595255344038,-0.0415356948262887,-0.403517067438959,0.34166297428278,0.00699099870932063,-0.295321416539964
"sig_5",-0.0795229712354268,0.0398463569449115,-0.013335415832454,0.095989921358384,0.051767282009184,0.120395014356447,0.0895022048647044,0.206837203215894,-0.259667775871351,-0.030996381637501,0.178681211514871,-0.14302989659689
"sig_6",0.0975719979212866,0.448565552095821,0.165568723683089,-0.0489168033553867,0.361767191158732,0.188320959565013,-0.147742100901296,0.0999111191397343,-0.230658392053698,0.236152756733614,0.351998971556741,0.269879825023582
"sig_7",-0.000546345543573516,-0.209449599743309,-0.0658752132289819,0.147482312827976,0.306036517163428,0.394656894247692,-0.4679365026127,-0.334127098197765,0.361124067964721,0.0824040130418352,0.41261121654924,0.0472347466793369
"sig_8",-0.213491153483364,0.0341467836331569,-0.564018715543875,-0.403736707367753,0.164375229366865,-0.109197894387633,-0.105147463026552,0.137304232623155,0.296620500431569,-0.0252150196794029,0.229215644009763,-0.688315376788523
"sig_9",-0.163276759640639,0.677469661905889,-0.450998079397405,-0.409843720722248,-0.504160187352515,0.00637795125224457,0.432759864496673,-0.496667763892337,0.00681249552984511,-0.293330512297581,0.174802599906394,0.168581921924621
"sig_10",-0.322179468877993,-0.321985793203262,0.485697313128807,-0.206103486744449,0.373683428487358,-0.0650081417202671,-0.369482681047707,-0.207585594452184,-0.469268322100155,0.339869159858988,-0.24253011221147,0.151771744402798
"sig_11",-0.126294561227246,0.60480939316456,0.376995921811788,0.100407464882601,-0.688266987027043,0.485084992129402,-0.590299960741388,0.467482160220099,0.347544382373106,-0.381985573919339,0.19614045369912,0.052686599143974
"sig_12",-0.185720911961275,0.00845212027082209,0.546010637888106,0.0917546420494951,0.149373586081578,0.0321316343184657,0.105323777111843,0.117292046457673,0.268683414886121,0.167218547855438,-0.0682977618977146,-0.511477491214089
"sig_13",-0.31253906154856,0.60251349269212,-0.372517652290979,0.427434829667887,0.643862440499556,0.091590602753077,0.454210168307273,0.67691751574726,-0.125874351885564,-0.300569154721074,0.102631613222697,-0.0301066276646307
"sig_14",-0.155719911694369,-0.39249613481901,0.241759028410794,-0.53585843447042,0.45366629126855,0.117890742010014,0.673821115679555,-0.263278097882376,0.19251491143693,-0.568564582387128,0.0924678610987989,-0.00178758456012833
"sig_15",-0.0288473456717304,-0.28173368713472,-0.152923567113944,-0.101005856987095,0.0126891247719717,-0.017649054638247,-0.255412068697155,0.294296171477274,-0.0192348601329738,0.0456111054966886,0.0700706975989535,0.198499800230133
"sig_16",0.162701732076875,-0.274724683015979,0.152583159423307,-0.148876633369866,-0.0844724103599776,-0.461701621854004,-0.261674994471087,0.646707183006168,0.108856047848771,0.157422427579047,0.0861810406631302,0.327068395268038
"sig_17",-0.282741208532919,-0.0859092777673241,-0.623434485678206,0.765291901405946,-0.0412801444013412,-0.792740767001095,-0.302449751359758,-0.386518063620527,-0.274012990138709,-0.0618122335563541,-0.301268954719202,-0.0824450545256125
"sig_18",-0.121167398310708,0.165984900026964,-0.108717342311148,0.0739995571922819,0.12672526891278,-0.0251224299274958,0.245514209060133,0.27774580909676,0.514561196740012,0.408930068633803,-0.323849813186605,0.0267000022892813
"sig_19",-0.0601393660724836,0.14080114928911,-0.250047614589893,-0.527966682640954,-0.144436817208492,-0.212629039657889,-0.321517011612459,0.0846156410873558,-0.22379723607037,0.242089387709025,0.145065371063374,-0.227644047056744
"sig_20",0.016923448269034,-0.00520861251898328,0.0191859649564894,0.0550340791402117,0.112688037817606,-0.171524714972731,0.200247614559329,-0.1218851129443,0.0731852780395373,-0.284889391678303,0.0351807291726868,0.301946497353485
"sig_21",0.0771315355982729,-0.0690426818699306,-0.145520731899932,-0.0893844686332299,-0.0635596921971224,0.0516380232324162,0.197095030160007,-0.109514263098086,0.198355031917983,-0.0848851798919198,0.131864643785215,-0.228338422323426
"sig_22",-0.0403183205333358,0.23287836477029,0.0970089847377598,-0.175737820039802,-0.0980873335794143,-0.192627061063229,0.363009909896848,0.0356075570747416,0.320193598822925,0.554640586819844,-0.264985766056786,0.273898926961485
"sig_23",-0.00929296422593459,-0.55876417306638,0.0050605708600512,0.172410023638994,-0.586394812554651,0.00338701245951117,-0.192459152595595,-0.331175097809792,-0.113263306411965,0.0434645845853575,0.057049459490944,-0.337878133948842
"sig_24",-0.108033382830267,-0.409509909443756,0.0823962225860242,-0.160106776031424,-0.267315742208513,0.778089811197082,0.387085535252643,0.261951956556483,-0.251024357014124,0.175122691362664,0.0156667243804294,0.328752665529076
"sig_25",0.00515485249035363,-0.0121792150090063,0.0335477790723678,0.0434956239114175,-0.171581095204006,0.0331178380289888,0.0361541026060719,-0.0169810264765011,-0.218717109648664,-0.151242168850944,0.100286261501385,-0.144535847951381
"sig_26",-0.118098423222002,-0.19421853712611,-0.295412363125971,-0.0194270083854084,0.0406955639774364,-0.140429756862546,-0.161784136061193,0.072645666285786,0.235624299864613,-0.490805304969928,-0.0186787524361768,0.246597499746228
"sig_27",0.116189771152335,0.0084753027929614,0.00869792455770965,-0.210123736405962,-0.115382351539758,-0.299982555226759,0.0285174323401087,-0.110829747974239,0.179844872355683,-0.0817197918240197,-0.00953537690982671,-0.151353373080579
"sig_28",-0.00961577401520718,0.0866891083295114,0.248147700826317,0.286583537974284,-0.0821283967660113,-0.168541030144391,0.221230645680945,-0.0658958147737571,-0.538339321613891,-0.0859382137093199,0.0385405748146618,-0.0900594211878816
"sig_29",0.170234643600273,0.103055407824874,0.537379912278326,0.154501726629166,-0.0511782268815525,-0.117908903564469,0.390415922644739,-0.0374951961403468,-0.13972405359344,0.13737120703029,0.272200834476336,0.45196098160649
